"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Sep 15 01:03:41 GMT 2023","Fri Sep 15 01:03:41 GMT 2023","19","tests","test_main_page","TestMainPage","","","TC 014 - Проверка функциональности ссылки 'Оплатить заказ'",""
"passed","Fri Sep 15 01:03:58 GMT 2023","Fri Sep 15 01:04:00 GMT 2023","1923","tests","test_main_page","TestMainPage","","","TC 016 - Проверка функциональности ссылки 'Прайс'",""
"broken","Fri Sep 15 01:07:36 GMT 2023","Fri Sep 15 01:07:37 GMT 2023","567","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","TD 015 Доставка товара весом до 30кг. в синей зоне",""
"passed","Fri Sep 15 01:05:24 GMT 2023","Fri Sep 15 01:05:24 GMT 2023","201","tests.catalog","test_catalog_page","TestCatalogPage","","","003_positive_pic_stroymateriali_smoke(catalog)",""
"passed","Fri Sep 15 01:17:26 GMT 2023","Fri Sep 15 01:17:27 GMT 2023","1115","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Переход с окна авторизации на страницу восстановления пароля",""
"passed","Fri Sep 15 01:10:30 GMT 2023","Fri Sep 15 01:10:45 GMT 2023","15242","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_50_3499rub_smoke",""
"broken","Fri Sep 15 01:01:47 GMT 2023","Fri Sep 15 01:01:47 GMT 2023","17","tests","test_main_page","TestMainPage","","","TC 004 - Функционал блока 'Советы от профессионалов ремонта'",""
"skipped","Fri Sep 15 01:18:03 GMT 2023","Fri Sep 15 01:18:21 GMT 2023","18537","tests.test_sign_in","test_sign_in_page","TestSignInPage","","","Авторизация с помощью аккаунта OK.ru",""
"passed","Fri Sep 15 01:03:26 GMT 2023","Fri Sep 15 01:03:31 GMT 2023","4553","tests","test_main_page","TestMainPage","","","TC 013 - Проверка функциональности ссылки 'Новинки'",""
"broken","Fri Sep 15 01:07:14 GMT 2023","Fri Sep 15 01:07:15 GMT 2023","753","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 001-products/uroven---uglomer-elektronnyj-kapro-992-1-30-0-1590-2190-https://sandboxtest.stroyrem-nn.ru/]",""
"broken","Fri Sep 15 01:12:48 GMT 2023","Fri Sep 15 01:13:04 GMT 2023","15243","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_discount_for_unauthorized_customer_purchase_amount_0_to_49rub_smoke",""
"passed","Fri Sep 15 01:09:21 GMT 2023","Fri Sep 15 01:09:36 GMT 2023","15240","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_discount_displayed_for_unauthorized_customer_for_amount_15000rub_and_above_smoke",""
"passed","Fri Sep 15 01:19:57 GMT 2023","Fri Sep 15 01:20:04 GMT 2023","7388","tests.test_ym","test_ym","TestYaMetric","","","ym_is_present_smoke",""
"skipped","Fri Sep 15 01:07:28 GMT 2023","Fri Sep 15 01:07:29 GMT 2023","527","tests.delivery","test_delivery_calculation","TestDeliveryPageCalculation","","","test_positive_delivery_green_zone_smoke[TD 010-products/shtukaturka-gipsovaya-aksolit-m50-30-kg-mashinnogo-naneseniya-206-6200-2900-5570-6120-https://sandboxtest.stroyrem-nn.ru/]",""
"passed","Fri Sep 15 01:13:13 GMT 2023","Fri Sep 15 01:13:21 GMT 2023","7667","tests.test_products_on_sale","test_products_on_sale_page","TestProductsOnSalePage","","","positive_check_there_is_no_discount_for_unauthorized_customer_red_prices_smoke",""
